code,nl
if f . db index :,"if f.db_index is true ,"
except KeyError :,"if KeyError exception is caught ,"
"def   deepcopy   ( self , memo ) :",define the method __deepcopy__ with 2 arguments : self and memo .
return True,"where ' % d ' is replaced with name , dlen subtracted from alen , and plen . return boolean True ."
"sys . stderr . write ( "" STR_ "" )","call the method sys.stderr.write with an argument string `` installed flup , then make sure you have it in your PYTHONPATH.\n '' ."
table = connections [ db ] . ops . quote name ( self .  table ),"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary , substitute the result for table ."
"if is in stance ( receiver , types . FunctionType ) :","if receiver is an instance of types.FunctionType type ,"
"return Page ( * args , ** kwargs )","return a instance of the class Page , created with 2 arguments : unpacked list args and unpacked dictionary kwargs ."
"handler . addQuickElement ( "" STR_ "" , item [ STR_ ] )",call the method handler.addQuickElement with 2 arguments : string 'email ' and value under the 'author_email ' key of the item dictionary .
if not match :,"if match is true ,"
date = datetime safe . new datetime ( date ),"call the method datetime_safe.new_datetime with an argument date , substitute the result for date ."
return id ,return id_ .
"out . write ( STR_ % p . split ( STR_ , NUM_ ) [ NUM_ ] )","split p into two parts at the first ' : ' , use the second element of the result to format string ' _ ( % s ) ' , write it to out ."
using sysrandom = False,string ' A secure pseudo-random number generator is not available on your system . Falling back to Mersenne Twister. ' . using_sysrandom is boolean False .
"recipients = [ sanitize address ( addr , email message . encoding ) for addr in email message . recipients ( ) ]","call the function sanitize_address with arguments addr and email_message.encoding , for every addr in return value of the function email_message.recipients , store the results in a recipients list ."
if in stance is None :,"save_as_new set to boolean False , prefix set to None , queryset set to None and unpacked dictionary kwargs . if instance is None ,"
neg = NUM_,neg is integer 1 .
for key value in related :,"for every key_value in related ,"
"return { f : e . as data ( ) for f , e in self . items ( ) }","return a dictionary generated with an expression , return value of the method e.as_data for f ,"
"def   init   ( self , * args , ** kwargs ) :","define the method __init__ with 3 arguments : self , unpacked list args and unpacked dictionary kwargs ."
from django . utils . six . moves import cPickle as pickle,from django.utils.six.moves import cPickle as pickle into default name space .
else :,"self._files is an instance of class MultiValueDict . if not ,"
bad app labels = set ( ),bad_app_labels is an empty set .
self . cmd = cmd,substitute cmd for self.cmd .
"data [ "" STR_ "" ] = smart text ( obj .  get pk val ( ) , strings only = True )","call the smart_text function with 2 arguments : return value of the obj._get_pk_val function and string_only set to boolean True ,"
self .  container . append ( self . make bytes ( content ) ),"call the method self.make_bytes with an argument content , append it to self._container ."
return SafeBytes ( t ),"return an instance of SafeBytes , created with an argument t ."
def value ( self ) :,define the method value with an argument self .
if path is None :,"if path is not initialized ,"
elif msg and visible issue count :,"otherwise if msg and visible_issue_count are true ,"
import sys,import module sys .
self . can read . acquire ( ),call the method self.can_read.acquire .
try :,"try ,"
FormSet . fk = fk,substitute fk for FormSet.fk .
class IntegerField ( Field ) :,derive the class IntegerField from the base class Field class .
"raise base . DeserializationError ( "" STR_ "" )",raise an base.DeserializationError exception with string `` < field > node is missing the 'name ' attribute '' as argument .
elif args [ NUM_ ] == STR_ :,"otherwise if second element of args equals a string '404 ' ,"
contains nontext = False,contains_nontext is boolean False .
continue,"skip this loop iteration ,"
for ext in extensions :,"for every ext in extensions ,"
"if options . get ( "" STR_ "" , False ) :","if the value under the 'test_flush ' key of the options dictionary exists ,"
if i >= len ( subject ) :,"if i is greater than , or equal to subject ,"
def import string ( dotted path ) :,define the function import_string with an argument dotted_path .
"name , val = forbid multi line headers ( name , val , self . encoding )","call the function forbid_multi_line_headers with 3 arguments : name , val and self.encoding , substitute the result for name and val , respectively ."
self .  namespace dict [ language code ] = namespaces,substitute namespaces for the value under language_code key of the self._namespace_dict dictionary .
return self . forms [ NUM_ ] . is  multipart ( ),"call the method is_multipart on the first element of self.forms , return it ."
in itial value = in itial if in itial is not None else,"if initial is not None , substitute initial for initial_value , otherwise initial_value is an empty string ."
else :,"if not ,"
"from django . utils . translation import ugettext lazy as   , pgettext lazy",from django.utils.translation import ugettext_lazy as _ and pgettext_lazy into default name space .
def needs multipart form ( self ) :,define the method needs_multipart_form with an argument self .
"self . stdout . write ( "" STR_ "" % line )","append new line to line , write it to self.stdout stream ."
"count , ch = get quantifier ( ch , pattern iter )","call the function get_quantifier with 2 arguments : ch and pattern_iter , substitute the result for count and ch , respectively ."
save . alters data = True,"and construct as boolean False , return the result . save.alters_data is boolean True ."
self . stream . flush ( ),call the method self.stream.flush .
self .  raw ipv6 = False,self._raw_ipv6 is boolean False .
for f in chain . from iterable ( l [ NUM_ ] for l in self .  files . lists ( ) ) :,for every f in return value of the return value of the method chain.from_iterable called with argument :
class CacheKeyWarning ( DjangoRuntimeWarning ) :,derive class CacheKeyWarning from the DjangoRuntimeWarning base class .
self . args = args,substitute args for self.args .
import errno,import module errno .
try :,"try ,"
"return force text ( quote plus ( force str ( url ) , force str ( safe ) ) )","call the function quote_plus with 2 arguments : result of the function force_str called with an argument url ,"
result = block . nodelist . render ( context ),"call the method block.nodelist.render with an argument context , substitute the result for result ."
from django . utils . safestring import mark safe,from django.utils.safestring import mark_safe into default name space .
return,return nothing .
result |= or d ( x ) ^ or d ( y ),"perform bitwise exclusive OR on 2 operands integer representation of x and integer representation of y ,"
continue,skip this loop iteration .
from django . utils . deprecation import RemovedInDjango19Warning,from django.utils.deprecation import RemovedInDjango19Warning into default name space .
else :,"if not ,"
pass,do nothing .
form = self . form ( ** defaults ),"call the method self.form with unpacked dictionary defaults as an argument , substitute it for form ."
@ property,"library set to memcache and value_not_found_exception set to ValueError . property decorator ,"
def find commands ( management dir ) :,define the function find_commands with an argument management_dir .
yield subnode,yield subnode .
else :,"if not ,"
admin = STR_,admin is a string 'admin '
s = StringIO ( ),s is an instance of StringIO class .
content = force bytes ( content ),"call the function force_bytes with argument content , substitute it for content ."
if plan node in loader . applied migrations :,"if plan_node is contained in loader.applied_migrations ,"
"def   init   ( self , parent widget , name , value , attrs , choices ) :","define the method __init__ with 6 arguments self , parent_widget , name , value , attrs and choices ."
if not qs . or dered :,"if qs.ordered is false ,"
def  get scheme ( self ) :,define the method _get_scheme with an argument self .
end tag = STR_ + bits [ NUM_ ],where ' % r ' is replaced with first element of bits . append first element of bits to 'end ' . substitute the result for end_tag .
return len ( value ) == in t ( arg ),"if lengths of value and arg are equal , return boolean True , otherwise return boolean False ."
base directory = STR_ % app or project,"append string '_directory ' to app_or_project , substitute it for base_directory ."
"if not self . is  required and CheckboxInput ( ) . value from datadict ( data , files , self . clear checkbox name ( name ) ) :","called with 3 arguments : data , files and name , substitute the result for upload . if self.is_required is boolean false and call to the method value_from_datadict from the instance of CheckboxInput class ,"
return ip str,return ip_str .
self . choices = choices,substitute choices for self.choices .
"if value ! = value or value == Decimal ( "" STR_ "" ) or value == Decimal ( "" STR_ "" ) :","if value is not equal to value or value equals return value of the call to Decimal with argument 'Inf ' ,"
for o in opts :,"for every o in opts ,"
rv = level,substitute level for rv .
if is o input not in val :,"for every iso_input in the result , if iso_input is not contained in val ,"
missing fields = ( set ( none model fields ) - set ( new class . declared fields . keys ( ) ) ),"substitute the resulting list for none_model_fields . missing_fields is difference between set containing none_model_fields and set containing result of the method ,"
if dklen > ( NUM_ ** NUM_ - NUM_ ) * hlen :,"bring intger 2 to integer 32 , decrement the result by 1 , multiply it with hlen , if dklen is greater than the previous result ,"
qs = self . queryset . filter ( ** { STR_ % key : value } ),"code set to string 'invalid_pk_value and params with an entry : pk for 'pk ' . call the method self.queryset.filter with an argument , unpacked dictionary with an entry : value for string '__in ' appended to key ,"
"self . stdout . write ( "" STR_ "" % ( app name , model .  meta . object name ) )","call the self.stdout.write method with string `` Installing custom SQL for % s. % s model\n '' as argument ,"
if not os . path . exists ( self . default locale path ) :,"if self.default_locale_path directory doesnt exists ,"
"six . reraise ( CommandError , CommandError ( new msg ) , sys . exc info ( ) [ NUM_ ] )","`` * The database is n't running or is n't configured correctly.\n * At least one of the expected database tables does n't exist.\n '' `` * The SQL was invalid.\nHint : Look at the output of 'django-admin.py sqlflush ' . That 's the SQL this command was n't able to run.\n '' `` The full error : % s '' , where ' % s ' is replaced by value under the 'NAME ' key of the connection.settings_dict dictionary and e. call the function six.reraise with 3 arguments : CommandError , CommandError created with argument new_msg ,"
class EscapeData ( object ) :,derive the class EscapeData from object base class .
"def custom sql for model ( model , style , connection ) :","define the function custom_sql_for_model with 3 arguments : app_config , style and connection ."
if translators comment start is not None and lineno >= translators comment start :,"if translators_comment_start is not None and lineno is greater than or equal to translators_comment_start ,"
if self . verbosity > NUM_ :,"if self.verbosity is greater than integer 1 ,"
@ register . filter ( is  safe = True ),decorator function register.filter with an argument is_safe set to boolean True .
"self .  post , self .  files = QueryDict ( , encoding = self .  encoding ) , MultiValueDict ( )","self._post is an instance of QueryDict created with arguments : an empty string and encoding set to self._encoding ,"
"def accessed time ( self , name ) :",define the method accessed_time with arguments self and name .
except Exception as e :,"if Exception , renamed to e , exception is caught ,"
"from django . utils . html import conditional escape , format html",from django.utils.html import conditional_escape and format_html into default name space .
"from lib2to3 . fixer util import find indentation , Name , syms , touch import","from lib2to3.fixer_util import find_indentation , Name , syms and touch_import into default name space ."
path info = /,path_info is a character '/ ' .
self . start object ( obj ),call the self.start_object with an argument obj .
"self . stdout . write ( "" STR_ "" % writer . as string ( ) )","use it as an argument for the call to the method self.style.MIGRATE_HEADING , write the result to self.stdout . call the method writer.as_string , append newline to the result , write it to self.stdout ."
elif self . waiting readers ! = NUM_ :,"otherwise if self.waiting_readers is not equal to integer 0 ,"
self . can read . release ( ),call the method self.can_read.release .
" fields  = [ ( STR_ , ULONG PTR ) , ( STR_ , ULONG PTR ) , ( STR_ ,  OFFSET UNION ) , ( STR_ , HANDLE ) ]","_fields_ is a list containing 4 tuples : first tuple contains : string 'Internal ' and ULONG_PTR ,"
return cookiedict,return cookiedict .
import os,import module os .
must be first = True,must_be_first is boolean True .
if in dex is not None :,"if index is not None ,"
"slugify = allow lazy ( slugify , six . text type )","mark_safe function , return the result . call the function allow_lazy with 2 arguments : slugify and six.text_type , substitute the result slugify ."
from logging . config import dictConfig,from logging.config import dictConfig .
"def content ( self , value ) :",define the method content with self and value .
"if hasattr ( TemplateLoader , STR_ ) :","if TemplateLoader has an attribute 'load_template_source ' ,"
self . verbosity = options . get ( STR_ ),"get the value under the 'verbosity ' key of the options dictionary , substitute it for self.verbosity ."
if app config . models module is None :,"RemovedInDjango19Warning and stacklevel set to integer 2. if app_config.models_module is None ,"
try :,"try ,"
self .  cached loaders = cached loaders,substitute cached_loaders for self._cached_loaders .
if m :,"if m is true ,"
for pk in value :,"for every pk in value ,"
exit code = restart with reloader ( ),"call the function restart_with_reloader , substitute the return value for exit_code ."
"raise TemplateSyntaxError ( "" STR_ "" % ( bits [ NUM_ ] , block name ) )","raise an TemplateSyntaxError exception with an argument string `` ' % s ' tag with name ' % s ' appears more than once '' ,"
from django . utils . six . moves import map,from django.utils.six.moves import map into default name space .
"return ( fp . read ( ) . decode ( settings . FILE CHARSET ) , filepath )","read file fp , call the method decode on the result with an argument settings.FILE_CHARSET , return tuple containing 2 elements ,"
return { STR_ : settings . STATIC URL },return an dictionary containing 1 entry : settings.STATIC_URL for 'STATIC_URL ' .
self . lookups = None,self.lookups is None .
return view func,"where string ' % s ' is replaced by mod_name and func_name , respectively . return view_func ."
id  = widget . attrs . get ( STR_ ) or self . auto id,"get the value under the 'id ' key of the widget.attrs dictionary , if the key exists substitute it for id_ ,"
else :,"if not ,"
"self . name , self . value = name , value",substitute name and value for self.name and self.value .
failures = test runner . run tests ( test labels ),"call the method test_runner.run_tests with an argument test_labels , substitute it for failures ."
def to locale ( language ) :,define the function to_locale with an argument language .
cur lineno = t . lineno + t . contents . count ( STR_ ),"count occurrences of '\n ' in t.contents , add the result to t.lineno , substitute the result for cur_lineno ."
model list . append ( model ),append model to model_list .
for attr in  urllib request moved attributes :,"for every attr in _urllib_request_moved_attributes ,"
if not pythonrc :,"and string '~/.pythonrc.py ' as tuples second element . if pythonrc is true ,"
return self . extract ( absolute path ),"call the method self.extract with an argument absolute_path , return the result ."
"super ( MemcachedCache , self ) .   init   ( server , params , library = memcache , value not found exception = ValueError )","call method __init__ from the base class of the class MemcachedCache with arguments : server , params ,"
pid = os . getpid ( ),"call the function os.getpid , substitute it for pid ."
"return STR_ % ( self . number , self . paginator . num pages )","return the string ' < Page % s of % s > ' , with occurrences of ' % s ' replaced by self.number and self.paginator.num_pages , respectively ."
attrs = [ ],attrs is a empty list .
raise NotImplementedError ( STR_ ),raise an NotImplementedError with an argument string 'subclasses of Tokenparser must provide a top ( ) method ' .
"handler . startElement ( "" STR_ "" , self . rss attributes ( ) )",call the method handler.startElement with 2 arguments : string `` rss '' and result of the method self.rss_attributes .
assert len ( version ) == NUM_,"if length of version does not equals to integer 5 , raise an exception ."
words [ i ] = escape ( word ),"call the function escape with an argument word , substitute the result for i-th element of words ."
if self . verbosity >= NUM_ :,"if self.verbosity is greater or equal to integer 2 ,"
return  decorator,return _decorator .
"reporter = ExceptionReporter ( request , is  email = True , * exc info )","and request_repr , respectively . reporter is an instance of ExceptionReporter class , created with 3 arguments : request , is_email as boolean True ,"
path rest = root [ prefix length : ],"slice root starting from the prefix_length index to the end , substitute it for path_rest ."
"for i in range ( NUM_ , self . total form count ( ) ) :","for every i in sequence of integers , from 0 to the result of the method self.total_form_count ,"
"def pbkdf2 ( password , salt , iterations , dklen = NUM_ , digest = None ) :","define the function pbkdf2 with 5 arguments : password , salt , iterations , dklen set to integer 0 and digest set to None ."
model list = app config . get models ( ),"call the method app_config.get_models , substitute the result fr model_list ."
self .  wrapped = self .  setupfunc ( ),"call the method self._setupfunc , substitute the result for self._wrapped ."
"command . stdout . write ( STR_ % ( self . file , self . dirpath ) )","substitute ' % s ' is string 'processing file % s in % s\n ' with self.file and self.dirpath , write it to command.stdout ."
if PY3 :,"if PY3 is true ,"
return False,return boolean False .
"def render ( self , context ) :",define the method render with 2 arguments : self and context .
"v = ValueError ( STR_ % ( s , e ) )","raise an ValueError exception with an argument string ' Can not resolve % r : % s ' , formated with s and e ."
from datetime import datetime,from datetime import datetime into default name space .
"return timezone . localize ( value , is  dst = None )","call the method timezone.localize with 2 arguments : value and is_dst as None , return the result ."
"return self . filter function ( func , ** flags )","call the method self.filter_function with 2 arguments func and unpacked dictionary flags , return the result ."
except KeyError :,"if KeyError exception is caught ,"
"if options . traceback or not is in stance ( e , CommandError ) :","if options.traceback is true or e is not CommandError instance ,"
"def to python ( self , value ) :",define the method to_python with arguments self and value .
args = [ ],args is an empty list .
"for i , piece in enumerate ( re formatchars . split ( force text ( formatstr ) ) ) :","call the function force_text with an argument formatstr , use the result as an argument for the call to the method ,"
from django . core . wsgi import get wsgi application,from django.core.wsgi import get_wsgi_application into default name space .
from django . test . utils import get runner,from django.test.utils import get_runner into default name space .
def  get media ( self ) :,define the method _get_media with an argument self .
return in stance,return instance .
"self . changed objects . append ( ( obj , form . changed data ) )",append a tuple with 2 elements : obj and form.changed_data to self.changed_objects .
return res,return res .
try :,"try ,"
"if not is in stance ( item , ( list , tuple ) ) :","if item is not an instance of list or tuple class ,"
if not  serializers :,"if _serializers is false ,"
for bit in self . lookups :,"for bit in self.lookups ,"
values =  itervalues,substitute _itervalues for values .
return value,return value .
return func,"use its __name__ field as a key to get the value from self.tags , assign func to it . return func ."
try :,"try ,"
try :,"try ,"
if not os . path . is file ( in it path ) :,"if init_path is not a file ,"
def get queryset ( self ) :,define the method get_queryset with an argument self .
"def validate ( self , value ) :",define the method to_python with arguments self and value .
obj = settings . TEMPLATE STRING IF INVALID,substitute settings.TEMPLATE_STRING_IF_INVALID with obj .
attrs = { STR_ : model },attrs is a dictionary with model for 'model ' .
try :,"try ,"
try :,"try ,"
"def   init   ( self , form , field , name ) :","define the method __init__ with 4 arguments : self , form , field and name ."
if not check for language ( lang ) :,"call the function check_for_language with an argument lang , if it evaluates to false ,"
"def  set queryset ( self , queryset ) :",define the method _set_queryset with 2 arguments : self and queryset .
"def load template source ( self , template name , template dirs = None ) :","define the method load_template_source with 3 arguments : self , template_name , template_dirs set to None ."
"elif not options [ "" STR_ "" ] and not options [ "" STR_ "" ] and not options [ "" STR_ "" ] :","if values under the 'socket ' , 'host ' and 'port ' keys of the options dictionary are false ,"
self .  response middleware = [ ],_response_middleware is an empty list .
kwargs [ STR_ ] = number,substitute number for value under the 'number ' key of the kwargs dictionary .
"def configure formatter ( self , config ) :",define the method configure_formatter with 2 arguments : self and config .
os . makedirs ( dirname ),create directories from the elements in filename .
if not model identifier :,"if model_identifier is false ,"
func ( path ),call the function func with an argument path .
error text = str ( e ),"convert e to a string , substitute it for error_text ."
t = self . current token,substitute self.current_token for t .
return lang code,"called with an argument lang_code is true , return lang_code ."
"def wordwrap ( value , arg ) :",define the function wordwrap with 2 arguments value and arg .
"nm = Header ( nm , encoding ) . encode ( )","call the encode function on the Header class instance , created with arguments nm and encoding , substitute the result for nm ."
with open ( pythonrc ) as handle :,"open pythonrc , with the file handle renamed to handle perform the following ,"
"none model fields = [ k for k , v in six . iteritems ( fields ) if not v ]","opts.localized_fields , opts.labels , opts.help_texts and opts.error_messages , substitute the result for fields . for every k and v in return value of the function six.iteritems called with an argument fields , if n is false , append it to a list ,"
for basedir in basedirs :,"for every basedir in basedirs ,"
else :,"if set is empty return string ' ( none ) ' instead , append the previous to the string `` Apply all migrations : `` , use the previous string as the argument for the call to the method self.style.MIGRATE_LABEL , use the result as an argument for the call to the method self.stdout.write . if not ,"
"field type = connection . in trospection . get field type ( row [ NUM_ ] , row )","call the method connection.introspection.get_field_type with 2 arguments : second element of row and row , substitute the result for field_type ."
try :,"try ,"
 load serializers ( ),call the function _load_serializers .
"from django . core . cache . backends . base import ( InvalidCacheBackendError , CacheKeyWarning , BaseCache )","from django.core.cache.backends.base import InvalidCacheBackendError , CacheKeyWarning and BaseCache into default name space ."
@ python 2 unicode compatible,python_2_unicode_compatible decorator
import random,import module random .
return self . path < other . path,"if self.path is lesser than other.path , return boolean True , otherwise return boolean False ."
if float ( value ) ! = NUM_ :,"convert value to an floating point number if it is not equal to integer 1 ,"
value = converter ( suffix ),"call the function converter with an argument suffix , substitute the result for value ."
return d,return d .
self . content type = content type,substitute content_type for self.content_type .
"result = datetime . datetime ( year , month , day , hour , min , sec )","call the method MONTHS.index with 6 arguments : year , month , day , hour , min and sec , substitute the result for result ."
try :,"try ,"
if name == STR_ :,"if name equals a string 'regex ' ,"
if id  :,"if id_ is true ,"
return NUM_,return an integer 0 .
return parse http date ( date ),"call the function parse_http_date with an argument date , return the result ."
def get full path ( self ) :,define the method get_full_path with an argument self .
"return force text ( ngettext ( singular , plural , number ) )","call the function ngettext with 3 arguments : singular , plural and number , use the result as an argument for the call to the force_text ,"
for name in loggers :,"for every name in loggers ,"
available shells = [ shell ] if shell else self . shells,"if shell is true substitute list with element shell for available_shells , if not substitute self.shells for available_shells ."
except LookupError :,"if LookupError exception is caught ,"
if PY3 :,"if PY3 is true ,"
value = formats . sanitize separators ( value ),"call the method formats.sanitize_separators with an argument value , substitute the result for value ."
if not self . closed :,"if file self is not closed ,"
"handler . addQuickElement ( "" STR_ "" , , { "" STR_ "" : "" STR_ "" , "" STR_ "" : item [ STR_ ] . url , "" STR_ "" : item [ STR_ ] . length , "" STR_ "" : item [ STR_ ] . mime type } )","call the method handler.addQuickElement with 3 arguments : string 'link ' , an empty string and a dictionary with 4 entries :"
"def iterkeys ( d , ** kw ) :",define the function iterkeys with 2 arguments : d and unpacked dictionary kw .
"raise TypeError ( "" STR_ "" )",raise an TypeError exception with an argument string `` sep must be None or a string '' .
construct instance exclude . append ( name ),"and field _state.adding of value under the name key of self.cleaned_data dictionary is true , append name to construct_instance_exclude list ."
"def to bytes ( val , encoding ) :",define the function to_bytes with arguments val and encoding .
def   str   ( self ) :,define the method __str__ with an argument self .
for attr in  urllib robotparser moved attributes :,"`` RobotFileParser '' , `` robotparser '' , `` urllib.robotparser '' . for every attr in _urllib_robotparser_moved_attributes ,"
"value = ugettext ( "" STR_ "" ) % filesize number format ( bytes / KB )","call the function ugettext with an argument string `` % s KB '' , substitute ' % s ' with the result of the call to the function ,"
return False,return boolean False .
"if hasattr ( mw instance , STR_ ) :",if mw_instance has an attribute named 'process_request ' .
elif field in self . fields :,"otherwise if field is contained in self.fields ,"
def end serialization ( self ) :,define the method end_serialization with an argument self .
os . environ [ STR_ ] = options [ STR_ ],substitute value under the 'liveserver ' key of the options dictionary for value under the 'DJANGO_LIVE_TEST_SERVER_ADDRESS ' key of the os.environ dictionary .
else :,"if not ,"
self . error class = error class,substitute .error_class for self.error_class .
self . tags = { },self.tags is an empty dictionary .
non capturing groups = [ ],non_capturing_groups is an empty list .
elif ( attrvalue [ : NUM_ ] == STR_ == attrvalue [ - NUM_ : ] or attrvalue [ : NUM_ ] == STR_ == attrvalue [ - NUM_ : ] ) :,"otherwise , if first and the last character of attrvalue are '\ ' charter or first and last character of attrvalue are ' '' ' character ,"
del  error files [  error files . in dex ( filename ) ],remove the first occurrence of the filename value in the _error_files list .
COMMENT TAG END = STR_,COMMENT_TAG_END is a string ' # } ' .
if not dklen :,"if dklen is false ,"
if i :,"if i is true ,"
"field name = force text ( field name , encoding , errors = STR_ )","call the function force_text with 3 arguments : field_name , encoding and errors as a string 'replace ' , substitute the result for field_name ."
from unittest import *,from unittest import import everything .
cls .   dispatch = { },cls.__dispatch is an empty dictionary .
filename = file . name,substitute file.name for filename .
self . var name = var name,substitute var_name for self.var_name .
sys . stdout . write ( self . main help text ( ) + STR_ ),"and a list containing a string '-h ' , call the method self.main_help_text , append new line to it , write it to sys.stdout ."
SafeString = SafeText,substitute SafeText for SafeString .
def safe ( value ) :,define the function safe with an argument value .
except StandardError as e :,"if StandardError , renamed to e , exception is caught ,"
pass,do nothing .
"cache . set ( cache key , [ ] , cache timeout )","call the method cache.set with cache_key , an empty list and cache_timeout as arguments ."
if six . PY2 :,"if field PY2 of the module six is boolean True ,"
"def   init   ( self , var1 , var2 , nodelist true , nodelist false , negate ) :","define the method __init__ with 6 arguments : ( self , var1 , var2 , nodelist_true , nodelist_false and negate ."
"def   init   ( self , loopvars , sequence , is  reversed , nodelist loop , nodelist empty = None ) :","define the method __init__ with 6 arguments : self , loopvars , sequence , is_reversed , nodelist_loop and nodelist_empty set to None ."
"def in lineformset factory ( parent model , model , form = ModelForm , formset = BaseInlineFormSet , fk name = None , fields = None , exclude = None , extra = NUM_ , can order = False , can delete = True , max num = None , formfield callback = None , widgets = None , validate max = False , localized fields = None , labels = None , help texts = None , error messages = None , min num = None , validate min = False ) :","define the function inlineformset_factory with 20 arguments : parent_model , model , form set to ModelForm ,"
qs = self . queryset,substitute self.queryset for qs .
"from django . db import connections , router , transaction , models , DEFAULT DB ALIAS","from django.db import connections , router , transaction , models and DEFAULT_DB_ALIAS into default name space ."
if self .  wrapped is empty :,"if self._wrapped is empty ,"
repr attr = self .  setupfunc,substitute self._setupfunc for repr_attr .
can import settings = True,can_import_settings is boolean True .
extra classes . add ( self . form . required css class ),add self.form.required_css_class to extra_classes set .
self . choices = list ( choices ),"convert elements of choices into a list , substitute it for self.choices ."
else :,"if not ,"
LOCK EX = NUM_ x2,LOCK_EX is a hexadecimal 2 .
"if is in stance ( other , Promise ) :","if other is an instance of Promise class ,"
language code = get language ( ),"call the method get_language , substitute the result for language_code ."
object data . update ( in itial ),update object_data dictionary with initial .
"six . reraise ( UnreadablePostError , UnreadablePostError ( * e . args ) , sys . exc info ( ) [ NUM_ ] )","call the function six.reraise with 3 arguments : UnreadablePostError , UnreadablePostError instantiated with unpacked list e.args ,"
"return self .   class   ( [ ( key , copy . deepcopy ( value , memo ) ) for key , value in self . items ( ) ] )","call the method self.__class__ with an argument list , with 2 elements : key and result of the function copy.deepcopy ,"
"return b64 encode ( salted hmac ( salt , value , key ) . digest ( ) )","call the salted_hmac with 3 arguments : salt , value and key , call the digest method on the result ,"
"if is in stance ( other dict , MultiValueDict ) :",if other_dict is an instance of MultiValueDict .
else :,"if not ,"
"plural forms re = re . compile ( r STR_ , re . MULTILINE | re . DOTALL )","call the method re.compile with 2 arguments : raw string '^ ( ? P < value > '' Plural-Forms.+ ? \\n '' ) \s* $ ' ,"
return NUM_,return integer 0 .
"return path . split ( / , NUM_ )","index of the first occurrence of '\\ ' in path , or alternatively if '\\ ' is not contained in path , split path in two parts by '/ ' character , return the result ."
"def format subject ( self , subject ) :",define the method format_subject with 2 arguments : self and subject .
for field in unique check :,"substitute the result for value under the NON_FIELD_ERRORS key of the form._errors dictionary . for every field in unique_check ,"
token = parser . next token ( ),"call the method parser.next_token , substitute the result for token ."
sys . stderr . close ( ),call the method sys.stderr.close .
def is  hidden ( self ) :,define the method is_hidden with an argument self .
if six . PY2 and value > sys . maxint :,"if six.PY2 is true and value is greater than sys.maxint ,"
"super ( BaseTemporalField , self ) .   init   ( * args , ** kwargs )","call the method __init__ from the base class of the BaseTemporalField class , with arguments : unpacked list args and unpacked dictionary kwargs ."
"def  wrapper ( self , * args , ** kwargs ) :","define the method _wrapper with 3 arguments : self , unpacked list args and unpacked dictionary kwargs ."
if self . load initial data :,"if self.load_initial_data is not empty ,"
def flush ( self ) :,where ' % s ' is replaced with self.__class__.__name__ . define the method flush with an argument self .
self . filters = filters,"where ' % s ' is replaced with elemnts of token from upto index till the end , and token . substitute filters for self.filters ."
return result,return result .
self . connection = get connection ( fail silently = fail silently ),"call the function get_connection with argument fail_silently set to fail_silently , substitute it for self.connection ."
"def  format value ( self , value ) :",define the method _format_value with 2 arguments : self and value .
except serializers . SerializerDoesNotExist :,"if serializers.SerializerDoesNotExist exception is caught ,"
forms valid &= form . is  valid ( ),"call the method form.is_valid , perform bitwise and with the result and forms_valid as operands , substitute the result for forms_valid ."
try :,"try ,"
if in put val in special floats :,"if every input_val in special_floats ,"
return [ self . forms [ i [ NUM_ ] ] for i in self .  ordering ],"for i in self._ordering append to a list value under the first element of i key of the self.forms dictionary , return resulting list ."
model dependencies . reverse ( ),call the methof model_dependencies.reverse .
locales = set ( locales ) - set ( exclude ),locales is relative complement of set exclude in set locales .
else :,"if not ,"
processors = tuple ( processors ),convert processors into a tuple and substitute it for processors .
else :,"if not ,"
return d,return d .
if ret :,if ret is true .
"msg += "" STR_ """,append string `` The domain name provided is not valid according to RFC 1034/1035 . '' to msg .
from django . utils . deconstruct import deconstructible,from django.utils.deconstruct import deconstructible into default name space .
from collections import namedtuple,from collections import namedtuple .
return,return nothing .
"obj = base . build instance ( Model , data , self . db )","call the method base.build_instance with arguments Model , data and self.db , substitute the result for obj ."
"def set signed cookie ( self , key , value , salt = , ** kwargs ) :","define the method set_signed_cookie with 5 arguments : self , key , value , salt as an empty string and unpacked dictionary kwarg ."
def boolean check ( v ) :,define the function boolean_check with an argument v .
"self . stdout . write ( "" STR_ "" )",write string `` No conflicts detected to merge . '' to self.stdout stream .
"yield ( "" "" , self . field . empty label )",yield a tuple with 2 elements : an empty string and self.field.empty_label .
"self . stdout . write ( "" STR_ "" )","self.style.MIGRATE_HEADING , write the result to self.stdout . write string `` You should commit this migration but leave the old ones in place ; '' to self.stdout ."
"raise ValidationError ( self . error messages [ STR_ ] , code = STR_ )",raise an ValidationError with 2 arguments : value under the 'invalid ' key of the self.error_messages dictionary and code set to 'invalid ' .
importer =   import  ,substitute __import__ for importer .
parsed = False,parsed is boolean False .
try :,"try ,"
"return "" STR_ "" % ( obj , id , self . msg , hint )","replace all ' % s ' from string `` % s : % s % s % s '' with values of obj , id , self.msg and hint , respectively , return the result ."
"dir name , file name = os . path . split ( name )","call the os.path.split with argument name , assign the result to the dir_name and file_name respectively ."
elif len ( options . args ) < NUM_ :,"otherwise , length of options.args is lesser than integer 1 ,"
